Odoo	Ref	Value	Name	Qnty
3856	U10, U13		TLV9001UIDBVR, 1-Channel, 1MHz, RRIO, 1.8V to 5.5V Operational Amplifier for Cost-Optimized Systems -40 to 125, SOT-23-5 [SMD]	2.0
3233	U11, U12		MP2494DN-LF-Z_SMD_SOIC8E [SMD]	2.0
3335	U14		MT1470, Synchronous Step-Down Converter, 2A,4.5V-21V Input, 500kHz, SOT23 [SMD]	1.0
1653	U2		TCN75AVOA, 2-Wire Serial Temperature Sensor, SOIC-8 [SMD]	1.0
3600	U3		MCP23017-E/ML, I/O Expander 16bit Input/Output Exp I2C interface, QFN-28 [SMD] 	1.0

1633	U18, U19		88E6071-B1-NNC2C000, 7-port FE Switch with EEE, QFN-64 [SMD]	2.0
3943	U8		IRM-60-48, AC/DC Output Modules, 60W 48V 1.25A PCB mounting style	1.0
3234	U9		NCP1094MNRG, Hot Swap Voltage Controllers, DFN-10 [SMD]	1.0
1662	Y1		Crystal SPK-25Mhz 8PF +/-50PPM 2Pad(NX5032GA-25.000000MHZ-LN-CD-1, 25.000MHZ 8pF 50PPM SMD) [SMD]	1.0
3881	U5, U6		TPS23861PWR, IC POE CNTRL 4 CHANNEL 28TSSOP [SMD]	2.0
3347	U7		THVD1500DR, RS-485 Transceivers, up to 300kbps, SOIC-8 [SMD] 	1.0
4041	U4		FPC connector Upper contact, 34 PIN, X05A20H34G [SMD]	1.0
